Extent (million sq km),Number of Records,Path Order,Sea Ice,Year
12.3265,1,0,0,1996
11.657,1,0,0,2009
12.49,1,0,0,1991
11.323,1,0,0,2015
11.95,1,0,0,2001
11.254,1,0,0,2010
11.978,1,0,0,2002
12.6465,1,0,0,1985
11.768,1,0,0,2013
12.87,1,0,0,1982
11.9185,1,0,0,2004
11.607,1,0,0,2007
12.574,1,0,0,1994
12.769,1,0,0,1983
12.279,1,0,0,1990
12.4495,1,0,0,1988
12.344,1,0,0,1999
12.096,1,0,0,1995
12.69,1,0,0,1992
12.706,1,0,0,1980
11.403,1,0,0,2006
12.024,1,0,0,2003
12.285,1,0,0,1997
10.826,1,0,0,2016
12.375,1,0,0,1993
11.507,1,0,0,2011
12.816,1,0,0,1981
12.232,1,0,0,1998
12.526,1,0,0,1984
12.0795,1,0,0,2000
11.625,1,0,0,2005
11.269,1,0,0,2017
11.54,1,0,0,2012
11.267,1,0,0,1987
11.818,1,0,0,2008
12.687,1,0,0,1989
12.591,1,0,0,1986
12.8115,1,0,0,1979
11.724,1,0,0,2014
12.3265,1,1,12.3265,1996
11.657,1,1,11.657,2009
12.49,1,1,12.49,1991
11.323,1,1,11.323,2015
11.95,1,1,11.95,2001
11.254,1,1,11.254,2010
11.978,1,1,11.978,2002
12.6465,1,1,12.6465,1985
11.768,1,1,11.768,2013
12.87,1,1,12.87,1982
11.9185,1,1,11.9185,2004
11.607,1,1,11.607,2007
12.574,1,1,12.574,1994
12.769,1,1,12.769,1983
12.279,1,1,12.279,1990
12.4495,1,1,12.4495,1988
12.344,1,1,12.344,1999
12.096,1,1,12.096,1995
12.69,1,1,12.69,1992
12.706,1,1,12.706,1980
11.403,1,1,11.403,2006
12.024,1,1,12.024,2003
12.285,1,1,12.285,1997
10.826,1,1,10.826,2016
12.375,1,1,12.375,1993
11.507,1,1,11.507,2011
12.816,1,1,12.816,1981
12.232,1,1,12.232,1998
12.526,1,1,12.526,1984
12.0795,1,1,12.0795,2000
11.625,1,1,11.625,2005
11.269,1,1,11.269,2017
11.54,1,1,11.54,2012
11.267,1,1,11.267,1987
11.818,1,1,11.818,2008
12.687,1,1,12.687,1989
12.591,1,1,12.591,1986
12.8115,1,1,12.8115,1979
11.724,1,1,11.724,2014
