DATE,Visits Abroad
1/1/1986,1.9M
1/1/1986,1.7M
1/1/1986,2.0M
4/1/1986,1.9M
4/1/1986,2.2M
4/1/1986,2.1M
7/1/1986,2.1M
7/1/1986,2.2M
7/1/1986,2.2M
10/1/1986,2.2M
10/1/1986,2.2M
10/1/1986,2.2M
1/1/1987,2.1M
1/1/1987,2.2M
1/1/1987,2.2M
4/1/1987,2.3M
4/1/1987,2.4M
4/1/1987,2.3M
7/1/1987,2.3M
7/1/1987,2.4M
7/1/1987,2.3M
10/1/1987,2.3M
10/1/1987,2.4M
10/1/1987,2.3M
1/1/1988,2.1M
1/1/1988,2.3M
1/1/1988,2.3M
4/1/1988,2.4M
4/1/1988,2.3M
4/1/1988,2.4M
7/1/1988,2.5M
7/1/1988,2.4M
7/1/1988,2.5M
10/1/1988,2.7M
10/1/1988,2.5M
10/1/1988,2.5M
1/1/1989,2.6M
1/1/1989,2.7M
1/1/1989,2.6M
4/1/1989,2.5M
4/1/1989,2.6M
4/1/1989,2.6M
7/1/1989,2.5M
7/1/1989,2.7M
7/1/1989,2.6M
10/1/1989,2.6M
10/1/1989,2.4M
10/1/1989,2.7M
1/1/1990,2.7M
1/1/1990,2.6M
1/1/1990,2.3M
4/1/1990,2.6M
4/1/1990,2.6M
4/1/1990,2.7M
7/1/1990,2.7M
7/1/1990,2.7M
7/1/1990,2.7M
10/1/1990,2.7M
10/1/1990,2.6M
10/1/1990,2.2M
1/1/1991,2.5M
1/1/1991,2.4M
1/1/1991,2.5M
4/1/1991,2.7M
4/1/1991,2.4M
4/1/1991,2.4M
7/1/1991,2.6M
7/1/1991,2.7M
7/1/1991,2.7M
10/1/1991,2.7M
10/1/1991,2.7M
10/1/1991,2.5M
1/1/1992,2.8M
1/1/1992,2.8M
1/1/1992,2.9M
4/1/1992,3.0M
4/1/1992,3.0M
4/1/1992,2.6M
7/1/1992,2.9M
7/1/1992,2.8M
7/1/1992,2.9M
10/1/1992,2.7M
10/1/1992,2.9M
10/1/1992,2.6M
1/1/1993,3.0M
1/1/1993,3.2M
1/1/1993,3.1M
4/1/1993,2.8M
4/1/1993,3.0M
4/1/1993,3.1M
7/1/1993,3.1M
7/1/1993,3.1M
7/1/1993,3.1M
10/1/1993,3.2M
10/1/1993,3.1M
10/1/1993,3.0M
1/1/1994,3.2M
1/1/1994,3.3M
1/1/1994,3.3M
4/1/1994,3.2M
4/1/1994,3.3M
4/1/1994,3.4M
7/1/1994,3.3M
7/1/1994,3.4M
7/1/1994,3.5M
10/1/1994,3.3M
10/1/1994,3.2M
10/1/1994,3.3M
1/1/1995,3.4M
1/1/1995,3.4M
1/1/1995,3.4M
4/1/1995,3.6M
4/1/1995,3.5M
4/1/1995,3.4M
7/1/1995,3.5M
7/1/1995,3.4M
7/1/1995,3.4M
10/1/1995,3.5M
10/1/1995,3.4M
10/1/1995,3.5M
1/1/1996,3.5M
1/1/1996,3.3M
1/1/1996,3.5M
4/1/1996,3.7M
4/1/1996,3.3M
4/1/1996,3.3M
7/1/1996,3.4M
7/1/1996,3.4M
7/1/1996,3.3M
10/1/1996,3.8M
10/1/1996,3.7M
10/1/1996,3.8M
1/1/1997,3.8M
1/1/1997,3.8M
1/1/1997,3.7M
4/1/1997,3.7M
4/1/1997,3.8M
4/1/1997,3.9M
7/1/1997,3.8M
7/1/1997,3.8M
7/1/1997,3.6M
10/1/1997,3.9M
10/1/1997,4.2M
10/1/1997,4.1M
1/1/1998,4.1M
1/1/1998,4.4M
1/1/1998,4.1M
4/1/1998,4.1M
4/1/1998,4.4M
4/1/1998,4.1M
7/1/1998,4.3M
7/1/1998,4.2M
7/1/1998,4.3M
10/1/1998,4.2M
10/1/1998,4.5M
10/1/1998,4.4M
1/1/1999,4.4M
1/1/1999,4.4M
1/1/1999,4.5M
4/1/1999,4.5M
4/1/1999,4.7M
4/1/1999,4.8M
7/1/1999,4.4M
7/1/1999,4.4M
7/1/1999,4.5M
10/1/1999,4.6M
10/1/1999,4.4M
10/1/1999,4.4M
1/1/2000,4.4M
1/1/2000,4.5M
1/1/2000,4.7M
4/1/2000,4.7M
4/1/2000,4.8M
4/1/2000,4.6M
7/1/2000,4.9M
7/1/2000,4.8M
7/1/2000,4.8M
10/1/2000,5.0M
10/1/2000,4.8M
10/1/2000,4.8M
1/1/2001,5.0M
1/1/2001,4.8M
1/1/2001,4.8M
4/1/2001,5.1M
4/1/2001,4.8M
4/1/2001,5.0M
7/1/2001,4.9M
7/1/2001,5.1M
7/1/2001,4.8M
10/1/2001,4.6M
10/1/2001,5.0M
10/1/2001,4.6M
1/1/2002,4.8M
1/1/2002,5.0M
1/1/2002,4.9M
4/1/2002,5.0M
4/1/2002,4.9M
4/1/2002,5.0M
7/1/2002,4.9M
7/1/2002,5.0M
7/1/2002,4.9M
10/1/2002,5.2M
10/1/2002,5.0M
10/1/2002,5.2M
1/1/2003,5.0M
1/1/2003,5.2M
1/1/2003,5.2M
4/1/2003,4.9M
4/1/2003,5.4M
4/1/2003,5.0M
7/1/2003,5.3M
7/1/2003,5.2M
7/1/2003,4.9M
10/1/2003,5.0M
10/1/2003,5.1M
10/1/2003,5.3M
1/1/2004,5.2M
1/1/2004,5.2M
1/1/2004,5.0M
4/1/2004,5.3M
4/1/2004,5.3M
4/1/2004,5.5M
7/1/2004,5.4M
7/1/2004,5.5M
7/1/2004,5.3M
10/1/2004,5.4M
10/1/2004,5.6M
10/1/2004,5.6M
1/1/2005,5.6M
1/1/2005,5.5M
1/1/2005,5.6M
4/1/2005,5.4M
4/1/2005,5.6M
4/1/2005,5.5M
7/1/2005,5.4M
7/1/2005,5.5M
7/1/2005,5.6M
10/1/2005,5.7M
10/1/2005,5.6M
10/1/2005,5.5M
1/1/2006,5.7M
1/1/2006,5.7M
1/1/2006,5.6M
4/1/2006,6.0M
4/1/2006,6.0M
4/1/2006,5.8M
7/1/2006,5.7M
7/1/2006,5.7M
7/1/2006,5.6M
10/1/2006,5.9M
10/1/2006,5.9M
10/1/2006,5.9M
1/1/2007,5.8M
1/1/2007,5.8M
1/1/2007,5.9M
4/1/2007,5.8M
4/1/2007,5.6M
4/1/2007,5.5M
7/1/2007,5.8M
7/1/2007,5.9M
7/1/2007,5.9M
10/1/2007,6.0M
10/1/2007,5.6M
10/1/2007,5.9M
1/1/2008,6.1M
1/1/2008,5.9M
1/1/2008,6.1M
4/1/2008,5.7M
4/1/2008,5.9M
4/1/2008,5.9M
7/1/2008,5.9M
7/1/2008,5.6M
7/1/2008,5.5M
10/1/2008,5.2M
10/1/2008,5.5M
10/1/2008,5.5M
1/1/2009,5.4M
1/1/2009,5.3M
1/1/2009,5.1M
4/1/2009,5.6M
4/1/2009,5.3M
4/1/2009,5.2M
7/1/2009,5.3M
7/1/2009,4.8M
7/1/2009,5.7M
10/1/2009,5.1M
10/1/2009,5.3M
10/1/2009,5.5M
1/1/2010,5.2M
1/1/2010,5.5M
1/1/2010,5.4M
4/1/2010,5.0M
4/1/2010,5.4M
4/1/2010,5.4M
7/1/2010,5.7M
7/1/2010,5.7M
7/1/2010,5.2M
10/1/2010,5.5M
10/1/2010,5.5M
10/1/2010,5.0M
1/1/2011,5.4M
1/1/2011,5.5M
1/1/2011,5.5M
4/1/2011,5.6M
4/1/2011,6.2M
4/1/2011,5.5M
7/1/2011,5.6M
7/1/2011,5.7M
7/1/2011,5.6M
10/1/2011,5.7M
10/1/2011,5.5M
10/1/2011,5.6M
1/1/2012,5.4M
1/1/2012,5.6M
1/1/2012,5.7M
4/1/2012,5.6M
4/1/2012,5.3M
4/1/2012,5.9M
7/1/2012,5.4M
7/1/2012,5.3M
7/1/2012,5.7M
10/1/2012,5.7M
10/1/2012,5.6M
10/1/2012,5.6M
1/1/2013,5.8M
1/1/2013,5.8M
1/1/2013,5.6M
4/1/2013,5.7M
4/1/2013,5.7M
4/1/2013,5.7M
7/1/2013,5.8M
7/1/2013,5.8M
7/1/2013,5.7M
10/1/2013,5.5M
10/1/2013,6.0M
10/1/2013,5.9M
1/1/2014,5.9M
1/1/2014,5.9M
1/1/2014,5.6M
4/1/2014,5.8M
4/1/2014,6.4M
4/1/2014,6.0M
7/1/2014,6.0M
7/1/2014,6.1M
7/1/2014,6.0M
10/1/2014,6.1M
10/1/2014,6.3M
10/1/2014,6.2M
1/1/2015,6.2M
1/1/2015,6.1M
1/1/2015,6.5M
4/1/2015,6.3M
4/1/2015,6.6M
4/1/2015,6.4M
7/1/2015,6.8M
7/1/2015,6.5M
7/1/2015,6.5M
10/1/2015,6.5M
10/1/2015,6.6M
10/1/2015,6.8M
1/1/2016,6.4M
1/1/2016,6.8M
1/1/2016,6.8M
4/1/2016,6.7M
4/1/2016,6.9M
4/1/2016,6.7M
7/1/2016,6.8M
7/1/2016,7.0M
7/1/2016,7.1M
10/1/2016,6.9M
10/1/2016,6.9M
10/1/2016,6.8M
1/1/2017,7.0M
1/1/2017,7.1M
1/1/2017,7.3M
4/1/2017,7.3M
4/1/2017,7.1M
4/1/2017,7.8M
7/1/2017,7.2M
7/1/2017,7.2M
7/1/2017,7.4M
10/1/2017,7.4M
10/1/2017,7.4M
10/1/2017,7.3M
1/1/2018,7.5M
1/1/2018,7.3M
1/1/2018,7.6M
4/1/2018,7.7M
4/1/2018,7.5M
4/1/2018,7.7M
7/1/2018,7.7M
7/1/2018,7.8M
7/1/2018,7.4M
10/1/2018,7.7M
10/1/2018,7.5M
10/1/2018,7.3M
1/1/2019,7.8M
1/1/2019,7.7M
1/1/2019,8.3M
4/1/2019,8.0M
4/1/2019,8.1M
4/1/2019,7.8M
7/1/2019,7.7M
7/1/2019,7.8M
7/1/2019,7.6M
10/1/2019,7.5M
10/1/2019,7.4M
10/1/2019,7.4M
1/1/2020,7.1M
1/1/2020,7.1M
1/1/2020,5.2M
